year,county,population
2018,"Gladwin County, MI",25289
2018,"Kalamazoo County, MI",261573
2018,"Mecosta County, MI",43264
2018,"Marquette County, MI",66939
2018,"Newaygo County, MI",48142
2018,"Osceola County, MI",23232
2018,"Otsego County, MI",24397
2018,"Calhoun County, MI",134473
2018,"Cheboygan County, MI",25458
2018,"Luce County, MI",6364
2018,"Kent County, MI",643140
2018,"Saginaw County, MI",192778
2018,"Shiawassee County, MI",68493
2018,"Bay County, MI",104786
2018,"Charlevoix County, MI",26219
2018,"Delta County, MI",36190
2018,"Emmet County, MI",33039
2019,"Allegan County, MI",116143
2019,"Alger County, MI",9151
2019,"Oceana County, MI",26416
2019,"Clare County, MI",30651
2019,"Isabella County, MI",70688
2019,"Tuscola County, MI",52939
2019,"Alpena County, MI",28520
2019,"Midland County, MI",83355
2019,"Oscoda County, MI",8248
2019,"Clinton County, MI",78389
2019,"Gratiot County, MI",40916
2019,"Lenawee County, MI",98381
2019,"Montcalm County, MI",63413
2019,"St. Clair County, MI",159247
2019,"Washtenaw County, MI",367000
2019,"Cass County, MI",51523
2019,"Roscommon County, MI",23851
2019,"Branch County, MI",43513
2019,"Jackson County, MI",158636
2019,"Macomb County, MI",870325
2019,"Baraga County, MI",8421
2019,"Eaton County, MI",109456
2019,"Gogebic County, MI",15061
2019,"Chippewa County, MI",37629
2019,"Monroe County, MI",149727
2019,"Oakland County, MI",1253185
2019,"Hillsdale County, MI",45757
2019,"Muskegon County, MI",173297
2019,"Leelanau County, MI",21652
2019,"Lapeer County, MI",88038
2019,"Sanilac County, MI",41295
2019,"Keweenaw County, MI",2111
2019,"Ontonagon County, MI",5877
2019,"Ottawa County, MI",286558
2019,"Alcona County, MI",10353
2019,"Ionia County, MI",64300
2019,"Kalkaska County, MI",17585
2019,"Berrien County, MI",154133
2019,"Ogemaw County, MI",20898
2019,"Wexford County, MI",33256
2019,"Crawford County, MI",13892
2019,"Dickinson County, MI",25439
2019,"Huron County, MI",31349
2019,"Ingham County, MI",290587
2019,"Mason County, MI",28954
2019,"Menominee County, MI",23074
2019,"Missaukee County, MI",15028
2019,"St. Joseph County, MI",60836
2019,"Van Buren County, MI",75358
2019,"Arenac County, MI",15070
2019,"Barry County, MI",60540
2019,"Iron County, MI",11152
2019,"Benzie County, MI",17615
2019,"Schoolcraft County, MI",8048
2019,"Wayne County, MI",1757299
2019,"Grand Traverse County, MI",92181
2019,"Mackinac County, MI",10780
2019,"Genesee County, MI",407875
2019,"Antrim County, MI",23206
2019,"Houghton County, MI",36070
2019,"Livingston County, MI",189754
2019,"Iosco County, MI",25197
2019,"Lake County, MI",11852
2019,"Manistee County, MI",24457
2019,"Montmorency County, MI",9265
2019,"Presque Isle County, MI",12714
2019,"Gladwin County, MI",25279
2019,"Kalamazoo County, MI",262745
2019,"Mecosta County, MI",43251
2019,"Marquette County, MI",66686
2019,"Newaygo County, MI",48366
2019,"Osceola County, MI",23290
2019,"Otsego County, MI",24490
2019,"Calhoun County, MI",134212
2019,"Cheboygan County, MI",25418
2019,"Luce County, MI",6338
2019,"Kent County, MI",648121
2019,"Saginaw County, MI",191821
2019,"Shiawassee County, MI",68340
2019,"Bay County, MI",104104
2019,"Charlevoix County, MI",26188
2019,"Delta County, MI",36026
2019,"Emmet County, MI",33104
2020,"Alcona County, MI",10167
2020,"Alger County, MI",8842
2020,"Allegan County, MI",120502
2020,"Alpena County, MI",28907
2020,"Antrim County, MI",23431
2020,"Arenac County, MI",15002
2020,"Baraga County, MI",8158
2020,"Barry County, MI",62423
2020,"Bay County, MI",103856
2020,"Benzie County, MI",17970
2020,"Berrien County, MI",154316
2020,"Branch County, MI",44862
2020,"Calhoun County, MI",134310
